Uva problems that need to be done,
Number,status
11172,Not Solved
11498,
11727,
10114,
11559,
11799,
573,
10141,
11507,
462,
10646,
12247,
278,
696,
10184,
489,
10189,
11459,
584,
10443,
10813,
401,
10945,
11221,
156,
195,
454,
161,
637,
812,
403,
608,
1061,
579,
893,
11947,
556,
12060,
12085,
10038,
11340,
12356,
10855,
10920,
11581,
146,
10107,
10258,
10264,
11926,
11933,
11988,
514,
732,
1062,
10172,
10901,
11034,
10336,
11286,
11572,
978,
11136,
11849,
1203,
10954,
11995,
599,
10895,
11991,
793,
10507,
11503,
11235,
11402,
12532,
927,
1237,
10976,
1260,
10487,
11242,
441,
735,
10102,
10660,
11236,
11565,
1047,
11553,
12455,
624,
10576,
11085,
524,
574,
10503,
193,
416,
1262,
